"alert_id","event_id","event_type","date","store_id","sku_id","event_risk","kpi_signal","forecast_signal","composite_risk_score","severity","recommended_action","event_ts","emitted_ts","event_to_alert_lag_seconds"
"AL000000000019","EV000000000019","reorder_trigger","2025-01-01","ST001","SKU00004","0.78","0.051","0.0259","0.2605","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:39:00","2025-01-01T14:39:21","21"
"AL000000000020","EV000000000020","reorder_trigger","2025-01-01","ST001","SKU00162","0.78","0.051","0.0801","0.2713","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:38:00","2025-01-01T14:38:25","25"
"AL000000000021","EV000000000021","reorder_trigger","2025-01-01","ST001","SKU00439","0.78","0.051","0.1569","0.2867","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:30:00","2025-01-01T14:30:38","38"
"AL000000000022","EV000000000022","reorder_trigger","2025-01-01","ST001","SKU00487","0.78","0.051","0.0809","0.2715","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:36:00","2025-01-01T14:36:29","29"
"AL000000000023","EV000000000023","stockout_risk","2025-01-01","ST001","SKU00487","0.91","0.051","0.0809","0.6365","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:06:00","2025-01-01T18:06:29","29"
"AL000000000024","EV000000000024","reorder_trigger","2025-01-01","ST001","SKU00063","0.78","0.051","0.0274","0.2608","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:35:00","2025-01-01T14:36:50","110"
"AL000000000025","EV000000000025","overstock_risk","2025-01-01","ST001","SKU00288","0.64","0.051","0.0354","0.3424","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:10:00","2025-01-01T19:10:12","12"
"AL000000000026","EV000000000026","reorder_trigger","2025-01-01","ST001","SKU00455","0.78","0.051","0.0882","0.2729","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:16:00","2025-01-01T14:16:14","14"
"AL000000000027","EV000000000027","reorder_trigger","2025-01-01","ST001","SKU00147","0.78","0.051","0.0828","0.2719","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:23:00","2025-01-01T14:24:10","70"
"AL000000000028","EV000000000028","reorder_trigger","2025-01-01","ST001","SKU00369","0.78","0.051","0.1377","0.2828","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:16:00","2025-01-01T14:18:04","124"
"AL000000000029","EV000000000029","stockout_risk","2025-01-01","ST001","SKU00369","0.91","0.051","0.1377","0.6478","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:02:00","2025-01-01T18:03:32","92"
"AL000000000030","EV000000000030","reorder_trigger","2025-01-01","ST001","SKU00161","0.78","0.051","0.0465","0.2646","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:17:00","2025-01-01T14:18:33","93"
"AL000000000031","EV000000000031","expiry_risk","2025-01-01","ST001","SKU00497","0.73","0.051","0.0968","0.4997","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:29:00","2025-01-01T16:30:47","107"
"AL000000000032","EV000000000032","overstock_risk","2025-01-01","ST001","SKU00370","0.64","0.051","0.0123","0.3378","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:34:00","2025-01-01T19:34:17","17"
"AL000000000033","EV000000000033","expiry_risk","2025-01-01","ST001","SKU00193","0.73","0.051","0.0249","0.4853","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:50:00","2025-01-01T16:50:54","54"
"AL000000000034","EV000000000034","overstock_risk","2025-01-01","ST001","SKU00304","0.64","0.051","0.0267","0.3406","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:01:00","2025-01-01T19:02:55","115"
"AL000000000035","EV000000000035","reorder_trigger","2025-01-01","ST001","SKU00537","0.78","0.051","0.0489","0.2651","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:05:00","2025-01-01T14:07:02","122"
"AL000000000036","EV000000000036","reorder_trigger","2025-01-01","ST001","SKU00281","0.78","0.051","0.027","0.2607","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:05:00","2025-01-01T14:05:32","32"
"AL000000000037","EV000000000037","stockout_risk","2025-01-01","ST001","SKU00281","0.91","0.051","0.027","0.6257","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:44:00","2025-01-01T18:44:28","28"
"AL000000000038","EV000000000038","overstock_risk","2025-01-01","ST001","SKU00031","0.64","0.051","0.0185","0.339","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:35:00","2025-01-01T19:36:34","94"
"AL000000000039","EV000000000039","reorder_trigger","2025-01-01","ST001","SKU00223","0.78","0.051","0.0458","0.2645","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:32:00","2025-01-01T14:33:41","101"
"AL000000000040","EV000000000040","overstock_risk","2025-01-01","ST001","SKU00082","0.64","0.051","0.0294","0.3412","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:26:00","2025-01-01T19:26:49","49"
"AL000000000041","EV000000000041","reorder_trigger","2025-01-01","ST001","SKU00342","0.78","0.051","0.0546","0.2662","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:32:00","2025-01-01T14:32:18","18"
"AL000000000042","EV000000000042","reorder_trigger","2025-01-01","ST001","SKU00334","0.78","0.051","0.0522","0.2657","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:29:00","2025-01-01T14:30:13","73"
"AL000000000043","EV000000000043","stockout_risk","2025-01-01","ST001","SKU00334","0.91","0.051","0.0522","0.6307","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:15:00","2025-01-01T18:15:18","18"
"AL000000000044","EV000000000044","expiry_risk","2025-01-01","ST001","SKU00334","0.73","0.051","0.0522","0.4907","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:42:00","2025-01-01T16:42:52","52"
"AL000000000045","EV000000000045","reorder_trigger","2025-01-01","ST001","SKU00421","0.78","0.051","0.0744","0.2702","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:25:00","2025-01-01T14:26:34","94"
"AL000000000046","EV000000000046","reorder_trigger","2025-01-01","ST001","SKU00374","0.78","0.051","0.1362","0.2825","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:03:00","2025-01-01T14:04:26","86"
"AL000000000047","EV000000000047","overstock_risk","2025-01-01","ST001","SKU00367","0.64","0.051","0.0391","0.3431","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:32:00","2025-01-01T19:32:30","30"
"AL000000000048","EV000000000048","reorder_trigger","2025-01-01","ST001","SKU00273","0.78","0.051","0.0937","0.274","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:13:00","2025-01-01T14:14:27","87"
"AL000000000049","EV000000000049","overstock_risk","2025-01-01","ST001","SKU00592","0.64","0.051","0.0131","0.3379","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:44:00","2025-01-01T19:45:54","114"
"AL000000000050","EV000000000050","reorder_trigger","2025-01-01","ST001","SKU00019","0.78","0.051","0.0367","0.2626","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:31:00","2025-01-01T14:32:32","92"
"AL000000000051","EV000000000051","reorder_trigger","2025-01-01","ST001","SKU00418","0.78","0.051","0.0352","0.2623","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:45:00","2025-01-01T14:46:29","89"
"AL000000000052","EV000000000052","reorder_trigger","2025-01-01","ST001","SKU00068","0.78","0.051","0.031","0.2615","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:11:00","2025-01-01T14:13:02","122"
"AL000000000053","EV000000000053","expiry_risk","2025-01-01","ST001","SKU00200","0.73","0.051","0.0689","0.4941","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:37:00","2025-01-01T16:37:58","58"
"AL000000000054","EV000000000054","reorder_trigger","2025-01-01","ST001","SKU00578","0.78","0.051","0.0222","0.2597","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:11:00","2025-01-01T14:11:44","44"
"AL000000000055","EV000000000055","overstock_risk","2025-01-01","ST001","SKU00272","0.64","0.051","0.057","0.3467","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:20:00","2025-01-01T19:21:06","66"
"AL000000000056","EV000000000056","overstock_risk","2025-01-01","ST001","SKU00460","0.64","0.051","0.038","0.3429","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:24:00","2025-01-01T19:25:03","63"
"AL000000000057","EV000000000057","reorder_trigger","2025-01-01","ST001","SKU00513","0.78","0.051","0.095","0.2743","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:46:00","2025-01-01T14:46:25","25"
"AL000000000058","EV000000000058","expiry_risk","2025-01-01","ST001","SKU00513","0.73","0.051","0.095","0.4993","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:34:00","2025-01-01T16:35:05","65"
"AL000000000059","EV000000000059","overstock_risk","2025-01-01","ST001","SKU00060","0.64","0.051","0.0533","0.346","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:39:00","2025-01-01T19:39:19","19"
"AL000000000060","EV000000000060","overstock_risk","2025-01-01","ST001","SKU00196","0.64","0.051","0.0182","0.3389","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:25:00","2025-01-01T19:26:52","112"
"AL000000000061","EV000000000061","reorder_trigger","2025-01-01","ST001","SKU00016","0.78","0.051","0.1051","0.2763","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:44:00","2025-01-01T14:45:27","87"
"AL000000000062","EV000000000062","reorder_trigger","2025-01-01","ST001","SKU00064","0.78","0.051","0.1519","0.2857","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:42:00","2025-01-01T14:42:49","49"
"AL000000000063","EV000000000063","overstock_risk","2025-01-01","ST001","SKU00301","0.64","0.051","0.0098","0.3373","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:38:00","2025-01-01T19:39:41","101"
"AL000000000064","EV000000000064","expiry_risk","2025-01-01","ST001","SKU00301","0.73","0.051","0.0098","0.4823","medium","Prioritize FEFO transfer and targeted sell-through campaign.","2025-01-01T16:00:00","2025-01-01T16:00:55","55"
"AL000000000065","EV000000000065","reorder_trigger","2025-01-01","ST001","SKU00013","0.78","0.051","0.0587","0.267","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:39:00","2025-01-01T14:40:52","112"
"AL000000000066","EV000000000066","reorder_trigger","2025-01-01","ST001","SKU00503","0.78","0.051","0.0702","0.2693","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:25:00","2025-01-01T14:26:26","86"
"AL000000000067","EV000000000067","reorder_trigger","2025-01-01","ST002","SKU00096","0.78","0.0504","0.126","0.2803","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:32:00","2025-01-01T14:32:48","48"
"AL000000000068","EV000000000068","reorder_trigger","2025-01-01","ST002","SKU00446","0.78","0.0504","0.0601","0.2671","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:32:00","2025-01-01T14:32:36","36"
"AL000000000069","EV000000000069","reorder_trigger","2025-01-01","ST002","SKU00471","0.78","0.0504","0.091","0.2733","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:09:00","2025-01-01T14:10:00","60"
"AL000000000070","EV000000000070","reorder_trigger","2025-01-01","ST002","SKU00300","0.78","0.0504","0.0369","0.2625","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:24:00","2025-01-01T14:24:29","29"
"AL000000000071","EV000000000071","reorder_trigger","2025-01-01","ST002","SKU00285","0.78","0.0504","0.0238","0.2599","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:43:00","2025-01-01T14:43:32","32"
"AL000000000072","EV000000000072","overstock_risk","2025-01-01","ST002","SKU00103","0.64","0.0504","0.0135","0.3378","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:15:00","2025-01-01T19:16:35","95"
"AL000000000073","EV000000000073","reorder_trigger","2025-01-01","ST002","SKU00294","0.78","0.0504","0.0216","0.2594","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:30:00","2025-01-01T14:30:33","33"
"AL000000000074","EV000000000074","reorder_trigger","2025-01-01","ST002","SKU00080","0.78","0.0504","0.0488","0.2649","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:49:00","2025-01-01T14:49:53","53"
"AL000000000075","EV000000000075","reorder_trigger","2025-01-01","ST002","SKU00548","0.78","0.0504","0.0278","0.2607","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:02:00","2025-01-01T14:03:33","93"
"AL000000000076","EV000000000076","reorder_trigger","2025-01-01","ST002","SKU00589","0.78","0.0504","0.065","0.2681","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:24:00","2025-01-01T14:24:30","30"
"AL000000000077","EV000000000077","reorder_trigger","2025-01-01","ST002","SKU00262","0.78","0.0504","0.0399","0.2631","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:21:00","2025-01-01T14:21:33","33"
"AL000000000078","EV000000000078","reorder_trigger","2025-01-01","ST002","SKU00551","0.78","0.0504","0.0917","0.2735","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:00:00","2025-01-01T14:00:43","43"
"AL000000000079","EV000000000079","reorder_trigger","2025-01-01","ST002","SKU00598","0.78","0.0504","0.027","0.2605","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:22:00","2025-01-01T14:22:33","33"
"AL000000000080","EV000000000080","reorder_trigger","2025-01-01","ST002","SKU00448","0.78","0.0504","0.0335","0.2618","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:12:00","2025-01-01T14:12:53","53"
"AL000000000081","EV000000000081","reorder_trigger","2025-01-01","ST002","SKU00454","0.78","0.0504","0.0799","0.2711","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:29:00","2025-01-01T14:29:32","32"
"AL000000000082","EV000000000082","overstock_risk","2025-01-01","ST002","SKU00009","0.64","0.0504","0.0159","0.3383","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:02:00","2025-01-01T19:02:14","14"
"AL000000000083","EV000000000083","reorder_trigger","2025-01-01","ST002","SKU00428","0.78","0.0504","0.0426","0.2636","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:03:00","2025-01-01T14:03:11","11"
"AL000000000084","EV000000000084","overstock_risk","2025-01-01","ST002","SKU00491","0.64","0.0504","0.03","0.3411","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:38:00","2025-01-01T19:38:57","57"
"AL000000000085","EV000000000085","reorder_trigger","2025-01-01","ST002","SKU00114","0.78","0.0504","0.0384","0.2628","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:49:00","2025-01-01T14:49:15","15"
"AL000000000086","EV000000000086","reorder_trigger","2025-01-01","ST002","SKU00259","0.78","0.0504","0.0441","0.2639","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:20:00","2025-01-01T14:21:11","71"
"AL000000000087","EV000000000087","reorder_trigger","2025-01-01","ST002","SKU00268","0.78","0.0504","0.1154","0.2782","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:00:00","2025-01-01T14:01:33","93"
"AL000000000088","EV000000000088","overstock_risk","2025-01-01","ST002","SKU00235","0.64","0.0504","0.0147","0.338","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:46:00","2025-01-01T19:46:11","11"
"AL000000000089","EV000000000089","reorder_trigger","2025-01-01","ST002","SKU00278","0.78","0.0504","0.0333","0.2618","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:01:00","2025-01-01T14:01:36","36"
"AL000000000090","EV000000000090","reorder_trigger","2025-01-01","ST002","SKU00386","0.78","0.0504","0.0185","0.2588","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:41:00","2025-01-01T14:41:12","12"
"AL000000000091","EV000000000091","reorder_trigger","2025-01-01","ST002","SKU00516","0.78","0.0504","0.027","0.2605","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:41:00","2025-01-01T14:42:11","71"
"AL000000000092","EV000000000092","stockout_risk","2025-01-01","ST002","SKU00516","0.91","0.0504","0.027","0.6255","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:50:00","2025-01-01T18:50:20","20"
"AL000000000093","EV000000000093","reorder_trigger","2025-01-01","ST003","SKU00079","0.78","0.0482","0.041","0.2627","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:35:00","2025-01-01T14:36:05","65"
"AL000000000094","EV000000000094","reorder_trigger","2025-01-01","ST003","SKU00053","0.78","0.0482","0.0471","0.2639","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:47:00","2025-01-01T14:48:31","91"
"AL000000000095","EV000000000095","reorder_trigger","2025-01-01","ST003","SKU00204","0.78","0.0482","0.0542","0.2653","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:22:00","2025-01-01T14:23:05","65"
"AL000000000096","EV000000000096","reorder_trigger","2025-01-01","ST003","SKU00411","0.78","0.0482","0.0208","0.2586","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:16:00","2025-01-01T14:16:21","21"
"AL000000000097","EV000000000097","reorder_trigger","2025-01-01","ST003","SKU00549","0.78","0.0482","0.0858","0.2716","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:21:00","2025-01-01T14:22:38","98"
"AL000000000098","EV000000000098","overstock_risk","2025-01-01","ST003","SKU00117","0.64","0.0482","0.0105","0.3366","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:04:00","2025-01-01T19:04:15","15"
"AL000000000099","EV000000000099","reorder_trigger","2025-01-01","ST003","SKU00403","0.78","0.0482","0.0815","0.2708","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:15:00","2025-01-01T14:15:56","56"
"AL000000000100","EV000000000100","reorder_trigger","2025-01-01","ST003","SKU00077","0.78","0.0482","0.0635","0.2672","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:34:00","2025-01-01T14:34:38","38"
"AL000000000101","EV000000000101","reorder_trigger","2025-01-01","ST003","SKU00026","0.78","0.0482","0.0481","0.2641","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:26:00","2025-01-01T14:27:01","61"
"AL000000000102","EV000000000102","reorder_trigger","2025-01-01","ST003","SKU00224","0.78","0.0482","0.0425","0.263","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:27:00","2025-01-01T14:28:59","119"
"AL000000000103","EV000000000103","reorder_trigger","2025-01-01","ST003","SKU00587","0.78","0.0482","0.0746","0.2694","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:31:00","2025-01-01T14:32:51","111"
"AL000000000104","EV000000000104","reorder_trigger","2025-01-01","ST003","SKU00240","0.78","0.0482","0.0391","0.2623","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:06:00","2025-01-01T14:06:28","28"
"AL000000000105","EV000000000105","reorder_trigger","2025-01-01","ST003","SKU00522","0.78","0.0482","0.0865","0.2718","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:29:00","2025-01-01T14:30:19","79"
"AL000000000106","EV000000000106","overstock_risk","2025-01-01","ST003","SKU00580","0.64","0.0482","0.027","0.3399","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:05:00","2025-01-01T19:05:40","40"
"AL000000000107","EV000000000107","overstock_risk","2025-01-01","ST003","SKU00168","0.64","0.0482","0.03","0.3405","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:06:00","2025-01-01T19:06:44","44"
"AL000000000108","EV000000000108","overstock_risk","2025-01-01","ST003","SKU00180","0.64","0.0482","0.0544","0.3454","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:05:00","2025-01-01T19:05:58","58"
"AL000000000109","EV000000000109","overstock_risk","2025-01-01","ST003","SKU00308","0.64","0.0482","0.0208","0.3386","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:26:00","2025-01-01T19:26:27","27"
"AL000000000110","EV000000000110","reorder_trigger","2025-01-01","ST003","SKU00385","0.78","0.0482","0.0635","0.2672","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:09:00","2025-01-01T14:10:41","101"
"AL000000000111","EV000000000111","reorder_trigger","2025-01-01","ST003","SKU00254","0.78","0.0482","0.0279","0.26","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:06:00","2025-01-01T14:07:59","119"
"AL000000000112","EV000000000112","overstock_risk","2025-01-01","ST003","SKU00025","0.64","0.0482","0.0231","0.3391","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:42:00","2025-01-01T19:42:39","39"
"AL000000000113","EV000000000113","reorder_trigger","2025-01-01","ST003","SKU00478","0.78","0.0482","0.0698","0.2684","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:00:00","2025-01-01T14:00:31","31"
"AL000000000114","EV000000000114","stockout_risk","2025-01-01","ST003","SKU00478","0.91","0.0482","0.0698","0.6334","medium","Expedite replenishment and rebalance stock from nearest low-risk store.","2025-01-01T18:20:00","2025-01-01T18:22:03","123"
"AL000000000115","EV000000000115","reorder_trigger","2025-01-01","ST003","SKU00537","0.78","0.0482","0.0839","0.2712","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:03:00","2025-01-01T14:03:12","12"
"AL000000000116","EV000000000116","reorder_trigger","2025-01-01","ST003","SKU00545","0.78","0.0482","0.0353","0.2615","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:08:00","2025-01-01T14:09:36","96"
"AL000000000117","EV000000000117","reorder_trigger","2025-01-01","ST003","SKU00063","0.78","0.0482","0.0328","0.261","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:38:00","2025-01-01T14:38:45","45"
"AL000000000118","EV000000000118","overstock_risk","2025-01-01","ST003","SKU00177","0.64","0.0482","0.0122","0.3369","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:10:00","2025-01-01T19:11:23","83"
"AL000000000119","EV000000000119","overstock_risk","2025-01-01","ST003","SKU00381","0.64","0.0482","0.0263","0.3397","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:11:00","2025-01-01T19:11:58","58"
"AL000000000120","EV000000000120","reorder_trigger","2025-01-01","ST003","SKU00313","0.78","0.0482","0.0461","0.2637","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:24:00","2025-01-01T14:25:42","102"
"AL000000000121","EV000000000121","overstock_risk","2025-01-01","ST003","SKU00218","0.64","0.0482","0.0187","0.3382","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:22:00","2025-01-01T19:22:53","53"
"AL000000000122","EV000000000122","reorder_trigger","2025-01-01","ST003","SKU00290","0.78","0.0482","0.0685","0.2682","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:09:00","2025-01-01T14:09:10","10"
"AL000000000123","EV000000000123","overstock_risk","2025-01-01","ST004","SKU00137","0.64","0.0496","0.012","0.3373","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:29:00","2025-01-01T19:30:59","119"
"AL000000000124","EV000000000124","overstock_risk","2025-01-01","ST004","SKU00380","0.64","0.0496","0.0142","0.3377","low","Throttle reorder quantity and trigger promo markdown review.","2025-01-01T19:15:00","2025-01-01T19:16:31","91"
"AL000000000125","EV000000000125","reorder_trigger","2025-01-01","ST004","SKU00150","0.78","0.0496","0.0891","0.2727","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:17:00","2025-01-01T14:17:53","53"
"AL000000000126","EV000000000126","reorder_trigger","2025-01-01","ST004","SKU00379","0.78","0.0496","0.1023","0.2754","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:08:00","2025-01-01T14:09:05","65"
"AL000000000127","EV000000000127","reorder_trigger","2025-01-01","ST004","SKU00340","0.78","0.0496","0.0318","0.2612","low","Validate lead time and approve automated replenishment run.","2025-01-01T14:36:00","2025-01-01T14:36:29","29"
